,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.92041,0.91895,0.93994,0.94678,0.90869,0.89648,0.91895,0.93848,0.94629,0.96484,0.92334,0.84912,0.77783,0.77783,0.51563,0.41699,0.28076,0.07373,0.037109,-0.25488,-0.54346,-0.60791,-0.71582,-0.70703,-0.79492,-0.89453,-0.94043,-1.0913,-1.2578,-1.0015,0.78906,0.72754,0.11914,-0.0092773,0.030273,0.0063477,0.017578,0.025391,0.075195,0.26514,0.24756,0.48389,0.60742,0.8833
,0.30225,0.2959,0.31738,0.37695,0.44824,0.47998,0.53223,0.67969,0.76709,0.75439,0.74023,0.7627,0.82031,0.82031,0.83398,0.7793,0.69824,0.63965,0.53369,0.41016,0.38379,0.29199,0.24561,0.22119,0.19336,0.15332,0.11328,0.071777,0.11865,0.27197,0.28223,0.25049,0.40527,0.44824,0.45605,0.43652,0.42529,0.42383,0.40137,0.41748,0.31152,0.40479,0.49072,0.77148
,0.13232,0.12549,0.14551,0.15869,0.16162,0.20752,0.25537,0.26123,0.26221,0.3877,0.48535,0.62646,0.65625,0.65625,0.72266,0.73145,0.73486,0.67627,0.69775,0.6001,0.49268,0.46191,0.44824,0.51123,0.52295,0.47168,0.40479,0.30713,0.40234,0.77979,0.89746,0.75879,0.96338,0.95508,0.94922,0.96094,0.94043,0.85498,0.78809,0.49316,0.48828,0.51221,0.59961,0.60986
,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092,0.94092
,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105,-0.33105
,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156,0.10156
,-3,4,9,3,17,4,-3,-9,-4,6,-7,4,5,5,8,5,-1,35,6,6,-8,-23,-10,5,-11,-10,4,5,0,0,0,-15,-22,9,-6,17,-4,6,0,6,-4,-3,-3,5
,-1,2,-2,-1,-4,-4,-4,1,5,-10,-13,-6,-2,-2,8,-1,0,10,-8,4,-10,-28,2,-5,3,0,3,3,-3,14,8,-8,-23,14,-5,8,-10,3,-4,11,-2,-1,-1,6
,-3,0,4,-3,-1,1,2,1,5,-34,-14,-20,-6,-6,5,-9,-5,-5,-17,-7,-7,-12,7,0,6,-6,-2,2,-3,1,14,-9,3,6,0,-8,2,-1,-2,2,-2,-2,-2,0
,-2,0,0,-3,-1,0,-2,2,5,-11,1,-4,-9,-9,0,-7,-18,-13,4,-29,5,-2,-5,4,3,-10,-2,12,7,21,28,-4,11,13,-4,7,7,-2,-36,0,5,-5,-1,2
,-4,0,-1,-1,1,0,-6,0,-1,-4,1,-3,-11,-11,-3,-1,-3,2,17,-16,3,-3,-4,-7,3,1,0,-1,-8,55,22,-38,31,-16,1,-12,19,-5,-18,3,-4,0,-2,-2
,-3,0,0,-1,0,0,-2,-2,-1,-1,-3,0,-2,-2,-4,3,-1,2,5,-5,3,-1,1,-2,0,-1,2,3,12,2,1,5,-4,-2,0,-3,6,1,-53,10,1,8,-3,-1
,-2,2,2,-1,0,0,-3,2,-2,2,-3,0,-2,-2,3,1,-5,12,0,1,-4,-5,6,4,-5,0,6,19,24,1,-18,2,-16,-1,-11,17,6,1,-12,2,7,3,-1,1
,-1,6,9,5,0,-1,-5,-2,-4,4,-4,5,0,0,13,8,-9,44,4,13,-7,6,-6,-9,-19,-7,0,20,27,32,-18,-37,-41,-2,-13,30,15,8,-6,-12,-13,11,2,2
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
