ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,
0.9633789,0.3125,0.01269531,1.006348,-0.4638672,0.1538086,2,1,-1,3,-1,-1,-1,1,2,9,-10,-57,-104,-19,-2,-1,-6.4375,-6.4375,-6.4375,-26.625,-26.625,-26.625,7.3645,3.009689,9.061576,2.946565,3.216699,6.182775,,,,,,,,,,
1.003418,0.2875977,0.003417969,0.9941406,-0.4619141,0.1704102,-3,-3,0,-2,-2,-1,13,0,1,0,-3,-3,-14,0,-2,0,4,4,4,-25.3125,-25.3125,-25.3125,7.339147,3.020543,9.086672,3.000573,3.254251,6.10718,,,,,,,,,,
1.01123,0.2792969,0.0078125,0.9428711,-0.5385742,0.2426758,0,-5,-3,1,-1,-2,-7,9,-2,0,4,-7,-6,-3,0,7,13.125,13.125,13.125,-28.3125,-28.3125,-28.3125,7.312099,3.030678,9.123271,3.09547,3.350087,5.963686,,,,,,,,,,
1.019043,0.3666992,0.07568359,0.8803711,-0.6147461,0.2998047,1,-8,-16,-5,0,1,-4,2,-1,0,-9,5,-5,0,-1,-4,28.5,28.5,28.5,-21.0625,-21.0625,-21.0625,7.216349,3.071252,9.256116,3.180165,3.472288,5.833695,,,,,,,,,,
0.9775391,0.4414063,0.1704102,0.7866211,-0.6748047,0.3691406,0,-9,-17,-6,-1,1,-2,-1,0,-1,0,7,23,-9,-6,-2,22.8125,22.8125,22.8125,-5.4375,-5.4375,-5.4375,7.083427,3.142463,9.427223,3.259485,3.61692,5.721378,,,,,,,,,,
0.9467773,0.5332031,0.2182617,0.605957,-0.6875,0.4526367,-2,2,4,-3,-1,-6,-3,-2,-2,-2,-3,1,19,0,0,-1,24.375,24.375,24.375,13.25,13.25,13.25,6.961964,3.242994,9.590932,3.374818,3.859798,5.576422,,,,,,,,,,
0.9082031,0.5942383,0.2729492,0.5327148,-0.7119141,0.4707031,-2,11,-9,0,-2,1,21,0,1,1,2,-1,-10,23,9,2,7.1875,7.1875,7.1875,23.3125,23.3125,23.3125,6.846719,3.37471,9.734965,3.416231,3.942449,5.531946,,,,,,,,,,
0.7885742,0.65625,0.394043,0.4174805,-0.6235352,0.515625,-1,2,15,-20,9,-1,2,-4,1,1,-4,3,0,1,-6,-1,10,10,10,14.375,14.375,14.375,6.719913,3.61498,9.904333,3.513606,4.182339,5.418449,,,,,,,,,,
0.6777344,0.6899414,0.4458008,0.359375,-0.6733398,0.5429688,-2,5,4,-9,18,1,-5,-4,1,1,-1,-8,-19,-10,1,0,-1.5,-1.5,-1.5,7.875,7.875,7.875,6.667254,3.802788,9.984506,3.554958,4.335522,5.353153,,,,,,,,,,
0.550293,0.6870117,0.4584961,0.3193359,-0.6982422,0.5639648,-4,-8,-4,7,-18,-4,-3,1,0,1,-3,0,9,-7,-5,-1,-8.3125,-8.3125,-8.3125,3.5625,3.5625,3.5625,6.616564,4.001498,0.04699353,3.568961,4.406997,5.322144,,,,,,,,,,
0.4960938,0.6391602,0.4731445,0.2753906,-0.684082,0.5737305,3,-6,-11,-47,-19,-1,6,5,-3,-2,3,4,10,-2,-2,0,-7.9375,-7.9375,-7.9375,18.875,18.875,18.875,6.597667,4.103048,0.07222142,3.604754,4.540789,5.26899,,,,,,,,,,
0.4960938,0.6391602,0.4731445,0.2802734,-0.6650391,0.5961914,-3,-1,2,33,-18,-10,0,-4,-2,-1,-1,-5,-7,5,0,1,-7.9375,-7.9375,-7.9375,3.9375,3.9375,3.9375,6.597667,4.103048,0.07222142,3.626805,4.647939,5.221898,,,,,,,,,,
0.1943359,0.6782227,0.4741211,0.3041992,-0.7192383,0.6464844,1,-3,-4,-2,14,0,-9,-2,0,-1,1,-1,9,3,-4,-2,-0.125,-0.125,-0.125,4.625,4.625,4.625,6.550008,4.561587,0.1499929,3.63884,4.738138,5.182926,,,,,,,,,,
0.1806641,0.6835938,0.4785156,0.159668,-0.722168,0.6401367,-3,-6,-2,0,-3,-4,4,2,1,-3,-9,-4,-1,2,2,-1,2.25,2.25,2.25,9.375,9.375,9.375,6.548581,4.631111,0.1596801,3.661011,4.839165,5.152754,,,,,,,,,,
0.2392578,0.6660156,0.5170898,0.1811523,-0.7119141,0.6225586,-3,1,1,2,-6,-6,-12,-6,-3,-1,-1,4,3,-4,0,2,9,9,9,7.75,7.75,7.75,6.550277,4.73662,0.1766106,3.668948,4.881435,5.149933,,,,,,,,,,
0.1962891,0.6953125,0.5424805,0.1811523,-0.7119141,0.6225586,-5,-2,-10,-2,-12,-2,0,0,1,-1,-2,-3,2,3,0,-2,15.8125,15.8125,15.8125,7.75,7.75,7.75,6.555433,4.779268,0.1858007,3.668948,4.881435,5.149933,,,,,,,,,,
0.1181641,0.8579102,0.5102539,0.08886719,-0.6987305,0.6772461,-8,-7,-7,-6,-14,0,3,-2,1,3,-5,-4,-8,-22,-10,-1,8.625,8.625,8.625,-5,-5,-5,6.585264,4.859127,0.1969753,3.672399,4.915928,5.144831,,,,,,,,,,
-0.05957031,0.84375,0.5380859,-0.06738281,-0.7651367,0.5107422,-2,-2,1,18,-10,-2,4,-1,0,1,12,27,7,13,-1,-2,5.5625,5.5625,5.5625,6.3125,6.3125,6.3125,6.584743,4.896007,0.1927853,3.667601,4.934479,5.130615,,,,,,,,,,
-0.1835938,0.8564453,0.5019531,-0.6025391,-0.8251953,0.4833984,-1,-7,-6,4,0,-3,-8,-11,1,0,-22,-8,-4,-3,4,-2,11.625,11.625,11.625,18.3125,18.3125,18.3125,6.592614,4.922159,0.1957212,3.677742,4.962429,5.120006,,,,,,,,,,
