ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9306641,0.2792969,0.02539063,0.9282227,-0.3535156,0.05712891,0,-1,0,1,0,-4,-3,-3,2,-1,-1,-3,-2,0,-1,1,0.375,0.375,0.375,0.3125,0.3125,0.3125,7.50097,2.962282,0.4337798,2.750815,3.089625,6.580793
0.9350586,0.2822266,0.01855469,0.9311523,-0.3442383,0.05419922,-3,0,0,1,-2,0,-2,-4,-1,-2,0,-2,-1,0,-2,-1,-0.4375,-0.4375,-0.4375,1.0625,1.0625,1.0625,7.505523,2.961584,0.4283527,2.7515,3.087214,6.581507
0.9287109,0.2841797,0.02099609,0.9345703,-0.3530273,0.05810547,-2,1,0,-3,0,-2,-4,-8,-2,-1,0,-3,0,-2,-2,-2,-0.5625,-0.5625,-0.5625,-1.25,-1.25,-1.25,7.510547,2.961299,0.4217578,2.750062,3.085041,6.582308
0.9331055,0.2807617,0.02685547,0.9355469,-0.3564453,0.05761719,-4,-1,-1,-1,-1,1,0,0,-2,-1,-1,-1,-1,-2,1,-3,-0.5625,-0.5625,-0.5625,1.1875,1.1875,1.1875,7.511104,2.961217,0.4204682,2.749838,3.084127,6.583148
0.9321289,0.2832031,0.02978516,0.9306641,-0.3544922,0.05273438,0,-1,-2,-3,0,1,1,-2,-1,-1,-2,-1,-2,-2,-1,-2,0.1875,0.1875,0.1875,1.9375,1.9375,1.9375,7.513336,2.961303,0.4176297,2.750259,3.083544,6.585051
0.9306641,0.2856445,0.02636719,0.9287109,-0.3486328,0.04833984,-1,-1,-1,1,-2,0,-1,-1,1,-1,-1,0,-2,-1,-2,-1,-0.5,-0.5,-0.5,0.5625,0.5625,0.5625,7.515564,2.961811,0.4144627,2.749582,3.08315,6.585706
0.9316406,0.2768555,0.02978516,0.9296875,-0.3540039,0.05664063,1,0,-1,-1,0,0,2,6,-2,-1,-3,-2,-1,-1,-3,-1,-0.5625,-0.5625,-0.5625,-0.9375,-0.9375,-0.9375,7.516313,2.961403,0.4120616,2.74826,3.083418,6.586748
0.9311523,0.2832031,0.02978516,0.9287109,-0.3598633,0.04541016,1,0,0,0,-1,-4,-2,0,-3,-2,-1,-2,0,0,0,-1,0.4375,0.4375,0.4375,1.5,1.5,1.5,7.516783,2.96106,0.4116551,2.744486,3.084116,6.591777
0.9306641,0.2773438,0.03027344,0.9316406,-0.3549805,0.05761719,-1,-2,-2,-2,1,-1,0,-1,0,-2,-2,1,-1,-1,1,-1,-0.3125,-0.3125,-0.3125,0.6875,0.6875,0.6875,7.515211,2.96096,0.4124961,2.742089,3.084402,6.595569
0.9365234,0.2822266,0.0234375,0.9287109,-0.3525391,0.05517578,-2,-2,0,0,1,0,1,-4,-2,-2,-2,-1,1,0,0,0,0.3125,0.3125,0.3125,-0.3125,-0.3125,-0.3125,7.513061,2.960244,0.4150786,2.742037,3.084545,6.595759
0.9345703,0.2788086,0.02685547,0.9267578,-0.3520508,0.05419922,-3,-1,-1,-2,-3,0,-1,3,0,-2,-1,-1,-2,0,-1,-2,-0.375,-0.375,-0.375,-0.75,-0.75,-0.75,7.510911,2.960606,0.4168503,2.742089,3.084402,6.595569
0.9238281,0.2753906,0.02246094,0.9291992,-0.3564453,0.06835938,1,-3,-2,-2,0,1,0,-1,-1,-3,-1,0,-3,-1,0,-1,0.4375,0.4375,0.4375,-0.9375,-0.9375,-0.9375,7.509601,2.960631,0.4181788,2.742081,3.08477,6.595283
0.9316406,0.2832031,0.02636719,0.9267578,-0.3583984,0.05761719,-3,0,-1,-1,0,-2,-2,0,-1,-1,0,0,0,0,-3,1,-1.0625,-1.0625,-1.0625,0.75,0.75,0.75,7.504922,2.960834,0.4220116,2.741605,3.08553,6.596045
0.9345703,0.2792969,0.02001953,0.9296875,-0.34375,0.05517578,-5,-3,-1,1,-1,-1,0,-2,-1,1,-1,-1,-1,-2,-7,-1,-0.9375,-0.9375,-0.9375,-1.4375,-1.4375,-1.4375,7.500344,2.96092,0.4253326,2.739767,3.084978,6.597167
0.9331055,0.2739258,0.02294922,0.9248047,-0.3588867,0.05419922,1,-1,-1,-1,0,-1,-1,0,-1,-3,-1,0,-1,-2,-5,-1,-0.5625,-0.5625,-0.5625,-2.75,-2.75,-2.75,7.500344,2.960686,0.4254752,2.733417,3.084616,6.599977
0.9360352,0.2739258,0.02246094,0.9311523,-0.3535156,0.05029297,0,0,-1,-1,-1,-2,-1,-3,-2,-1,-2,-1,-1,-1,5,-2,-0.375,-0.375,-0.375,-0.5625,-0.5625,-0.5625,7.498196,2.960628,0.4275804,2.733417,3.084616,6.599977
0.9350586,0.2749023,0.02294922,0.9291992,-0.3476563,0.05957031,0,0,-1,-2,0,0,0,-1,-3,-1,0,-1,-2,-1,-1,0,-0.8125,-0.8125,-0.8125,0.375,0.375,0.375,7.495389,2.960157,0.4293638,2.733396,3.084272,6.59997
0.9379883,0.2768555,0.01855469,0.9311523,-0.3452148,0.05664063,-4,-1,0,-1,-1,1,0,0,-3,1,-1,-3,0,-2,-2,-1,-1.5625,-1.5625,-1.5625,1.75,1.75,1.75,7.493612,2.959857,0.4289322,2.73706,3.083771,6.597337
0.9277344,0.2788086,0.02148438,0.925293,-0.347168,0.05908203,2,0,1,-2,0,0,-1,-3,0,0,-1,0,-2,-1,-1,0,-0.625,-0.625,-0.625,0.8125,0.8125,0.8125,7.493988,2.958815,0.4271026,2.743385,3.083444,6.592338
0.9335938,0.277832,0.02783203,0.9301758,-0.3544922,0.05224609,-1,0,2,-2,1,1,-1,0,-2,-1,-1,-1,0,-1,0,-1,0.1875,0.1875,0.1875,0.5,0.5,0.5,7.494924,2.958358,0.4261478,2.746832,3.082894,6.588733
0.9301758,0.2841797,0.01855469,0.9335938,-0.3525391,0.05419922,-2,1,-1,-2,-3,-2,1,0,-1,0,-1,-1,0,0,-1,-1,0.1875,0.1875,0.1875,1.9375,1.9375,1.9375,7.499435,2.958236,0.4208972,2.749736,3.083,6.586852
0.9326172,0.2783203,0.0234375,0.9316406,-0.3476563,0.04833984,1,0,-3,-1,-1,-2,-1,-3,-3,0,-2,1,0,0,-1,-3,-0.625,-0.625,-0.625,0.9375,0.9375,0.9375,7.505483,2.957096,0.4136599,2.751973,3.082343,6.585908
0.9331055,0.2792969,0.02685547,0.9316406,-0.3500977,0.05175781,-2,-3,0,1,-2,1,-2,0,-2,-2,-3,-1,-2,-1,-2,0,0.6875,0.6875,0.6875,-0.25,-0.25,-0.25,7.51014,2.956201,0.4083332,2.752711,3.080984,6.584651
0.9282227,0.2851563,0.02490234,0.9301758,-0.3491211,0.05078125,-2,0,-1,-1,-3,1,-1,-7,-1,-1,-1,-1,-3,0,0,-2,0.1875,0.1875,0.1875,1.3125,1.3125,1.3125,7.515917,2.956181,0.402215,2.753492,3.079757,6.584928
0.9326172,0.2768555,0.02636719,0.9301758,-0.3496094,0.0546875,-1,1,-1,-1,0,-5,-1,-2,0,-1,-1,-1,0,-2,-1,-2,-1.125,-1.125,-1.125,-0.625,-0.625,-0.625,7.518886,2.955812,0.3976611,2.752339,3.079226,6.58568
0.9384766,0.2753906,0.02685547,0.9331055,-0.3466797,0.04833984,0,1,-1,0,0,-1,0,-1,-1,-1,-1,-1,-1,-3,-1,-1,-0.5625,-0.5625,-0.5625,1.875,1.875,1.875,7.519195,2.956096,0.3952779,2.74907,3.077495,6.590159
0.9311523,0.2773438,0.02734375,0.9326172,-0.3457031,0.04882813,-2,0,-1,1,-1,-2,0,-3,-1,-3,-1,-1,-2,-1,-2,-3,0.0625,0.0625,0.0625,-0.6875,-0.6875,-0.6875,7.516159,2.956267,0.3977906,2.749124,3.077351,6.589967
0.9379883,0.2773438,0.02832031,0.9384766,-0.3530273,0.046875,1,1,-2,-2,0,-2,-1,3,0,-1,0,-1,0,-2,0,0,0,0,0,-0.3125,-0.3125,-0.3125,7.51181,2.956276,0.4018211,2.748462,3.077301,6.590637
0.9389648,0.2792969,0.02783203,0.9277344,-0.3510742,0.04296875,-3,-2,0,-2,0,0,0,0,-5,-1,-3,0,-2,-1,-2,-3,0.25,0.25,0.25,-2.75,-2.75,-2.75,7.510484,2.956724,0.4028262,2.744711,3.077049,6.592829
