ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9169922,0.315918,0.05322266,0.9287109,-0.3588867,0.06201172,1,-1,0,1,-1,0,-2,2,1,-2,-2,-1,-1,-1,-2,0,0.375,0.375,0.375,0.125,0.125,0.125,7.372306,3.02221,8.738992,2.804993,3.100962,6.421949
0.9194336,0.3129883,0.0546875,0.9301758,-0.3535156,0.06933594,-4,0,-1,0,1,0,-1,-2,-1,-1,-1,-1,-1,-3,-1,0,0.0625,0.0625,0.0625,0.625,0.625,0.625,7.372986,3.023784,8.736653,2.805426,3.100835,6.421542
0.9199219,0.3178711,0.05615234,0.9296875,-0.3564453,0.07421875,-3,-1,-1,0,0,1,-2,2,-2,0,-2,-1,-1,0,-2,-2,-0.5,-0.5,-0.5,0.625,0.625,0.625,7.372519,3.024557,8.7367,2.805426,3.100835,6.421542
0.9150391,0.3110352,0.05322266,0.9257813,-0.3486328,0.06933594,-1,0,0,-1,0,0,-1,-1,0,-1,-2,-1,0,-2,0,0,-0.625,-0.625,-0.625,0.125,0.125,0.125,7.370264,3.025076,8.737544,2.805205,3.10029,6.422338
0.9140625,0.3085938,0.05029297,0.9243164,-0.3623047,0.07519531,-1,-1,-2,-3,1,-1,0,-3,-1,-1,-1,-1,-1,-3,-4,0,-0.3125,-0.3125,-0.3125,0.1875,0.1875,0.1875,7.369895,3.025203,8.737572,2.805205,3.10029,6.422338
0.9208984,0.3110352,0.04980469,0.9238281,-0.3554688,0.06835938,-2,-1,-2,0,-1,-1,-1,0,-1,-2,0,-1,-1,-2,0,-1,-0.125,-0.125,-0.125,1.375,1.375,1.375,7.368655,3.025123,8.738179,2.805928,3.100307,6.42253
0.9213867,0.3129883,0.04980469,0.9262695,-0.3520508,0.06298828,2,0,-1,0,-1,0,-2,0,-1,-1,-4,1,-1,1,-2,-1,-0.625,-0.625,-0.625,0.6875,0.6875,0.6875,7.367918,3.024515,8.738065,2.805377,3.099551,6.42393
0.9233398,0.3081055,0.0546875,0.9291992,-0.3608398,0.07324219,1,-1,0,0,0,-3,-2,-2,2,-1,0,-3,0,-2,1,-1,-0.4375,-0.4375,-0.4375,0.8125,0.8125,0.8125,7.364878,3.023319,8.739317,2.805377,3.099551,6.42393
0.9228516,0.3095703,0.04931641,0.9301758,-0.3588867,0.0703125,-2,0,-1,-1,0,-1,-2,-4,0,-1,-1,-1,0,-2,0,1,-0.1875,-0.1875,-0.1875,1.5,1.5,1.5,7.364028,3.022455,8.739443,2.806007,3.099391,6.42431
0.9228516,0.3144531,0.05126953,0.9277344,-0.3588867,0.06152344,0,1,1,-1,0,-1,-1,0,-2,-1,0,-2,-1,-2,-1,-2,0.3125,0.3125,0.3125,0.5625,0.5625,0.5625,7.362621,3.020479,8.741392,2.806728,3.099405,6.424504
