ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
1.014648,0.3276367,-0.00390625,0.8891602,-0.5996094,0.3339844,1,9,11,-6,-4,-2,-1,-4,0,0,9,-8,-3,-8,-4,-1,9.375,9.375,9.375,-17,-17,-17,7.301174,3.020478,9.276881,3.246437,3.468943,5.866336
1.037109,0.3486328,0.01464844,0.8408203,-0.6396484,0.3842773,-4,-13,8,-15,-1,1,2,-4,-6,-5,-10,-7,-5,-1,0,-1,7.125,7.125,7.125,-0.9375,-0.9375,-0.9375,7.252715,3.042144,9.332612,3.334333,3.611279,5.750678
1.074707,0.4414063,0.1855469,0.7021484,-0.6318359,0.4467773,-3,-11,-8,9,0,-1,-5,-7,1,1,-15,-2,15,5,0,-4,40.3125,40.3125,40.3125,-5.3125,-5.3125,-5.3125,7.049021,3.162052,9.597213,3.407963,3.769087,5.646324
0.9980469,0.6196289,0.2250977,0.5932617,-0.684082,0.4760742,-3,-1,-5,-6,1,-4,8,1,2,0,3,-5,-6,-2,-2,-2,50.8125,50.8125,50.8125,6.8125,6.8125,6.8125,6.948944,3.300529,9.773522,3.471614,3.935645,5.554059
0.9501953,0.7021484,0.2763672,0.5327148,-0.684082,0.4912109,6,5,-12,-5,0,3,6,2,-1,0,-7,-2,-4,-4,1,2,26.75,26.75,26.75,14.4375,14.4375,14.4375,6.894049,3.384053,9.854322,3.505019,4.020037,5.51158
0.8100586,0.6567383,0.3842773,0.4375,-0.6518555,0.5473633,-1,-12,0,-3,6,7,3,6,0,-3,-3,-4,-12,-10,-11,0,-8.4375,-8.4375,-8.4375,14.4375,14.4375,14.4375,6.778185,3.569239,9.989275,3.563151,4.192447,5.432786
0.5253906,0.7016602,0.5219727,0.3457031,-0.6303711,0.5664063,0,19,36,-12,4,4,14,-9,1,2,6,3,0,1,8,3,-14.1875,-14.1875,-14.1875,7.125,7.125,7.125,6.660632,3.894337,0.1234294,3.607563,4.354625,5.355667
0.4277344,0.6821289,0.5,0.2597656,-0.675293,0.5478516,0,-13,-2,32,16,-1,1,-2,-1,1,5,24,2,0,-4,-2,-27.25,-27.25,-27.25,-4.125,-4.125,-4.125,6.627447,4.010308,0.1520144,3.630531,4.505807,5.285433
0.3837891,0.6669922,0.5024414,0.2211914,-0.6987305,0.578125,-9,-15,-13,6,-16,-4,1,-2,-1,-1,2,-3,-3,7,8,2,-26.8125,-26.8125,-26.8125,-2.5,-2.5,-2.5,6.600543,4.126976,0.1727977,3.637094,4.576498,5.257213
0.2416992,0.6474609,0.5058594,0.2124023,-0.6616211,0.6201172,-2,-14,-9,-27,-21,-1,8,2,0,0,1,-1,-7,-13,-10,2,-17.1875,-17.1875,-17.1875,-1.4375,-1.4375,-1.4375,6.567907,4.361585,0.1973323,3.64717,4.701779,5.206764
0.1450195,0.7260742,0.4443359,0.1279297,-0.6743164,0.5917969,-1,-3,10,-25,-22,0,7,1,0,-1,0,-3,2,4,2,-1,9,9,9,-8.4375,-8.4375,-8.4375,6.570311,4.665942,0.2012652,3.648311,4.807843,5.16043
0.1313477,0.7441406,0.4521484,0.1367188,-0.7177734,0.6206055,0,-1,-8,-28,-51,-9,-2,-4,0,-2,1,-3,3,4,5,3,9.3125,9.3125,9.3125,-4.9375,-4.9375,-4.9375,6.575214,4.743971,0.2041342,3.643998,4.886003,5.129029
0.1508789,0.7124023,0.4619141,0.1132813,-0.7041016,0.644043,0,-5,-5,-3,-2,1,2,-2,0,1,3,-2,-6,-6,-6,-3,5.1875,5.1875,5.1875,4.375,4.375,4.375,6.57762,4.806234,0.209217,3.648985,4.942646,5.113354
0.1166992,0.7446289,0.5170898,0.07666016,-0.7036133,0.6469727,-1,-4,-3,22,14,4,5,-1,-3,-1,1,3,-3,0,-13,-7,18.375,18.375,18.375,0,0,0,6.59234,4.918632,0.2426857,3.65003,4.964923,5.110289
0.1166992,0.7875977,0.5615234,0.1176758,-0.7504883,0.6635742,1,-2,-3,1,59,6,-2,3,0,-1,15,42,6,1,-6,0,11.875,11.875,11.875,-8.5,-8.5,-8.5,6.603158,4.938736,0.2741514,3.643803,4.999359,5.114244
0.03515625,0.8027344,0.5400391,0.112793,-0.7504883,0.706543,2,5,8,-4,-2,-3,0,1,0,-3,-1,-4,6,7,-4,-5,-0.6875,-0.6875,-0.6875,-5.5625,-5.5625,-5.5625,6.602418,4.941388,0.3021566,3.642212,5.004017,5.116852
0.008300781,0.7597656,0.6118164,0.01123047,-0.7670898,0.6708984,1,2,1,-1,-2,0,-13,-3,-1,1,2,-2,-11,-3,7,6,0.1875,0.1875,0.1875,3.8125,3.8125,3.8125,6.592835,4.942588,0.3176129,3.645819,5.017137,5.120673
0.00390625,0.9023438,0.5595703,-0.03417969,-0.7080078,0.652832,2,2,-5,-54,-33,-1,-2,0,-1,1,-2,1,1,1,1,0,13.3125,13.3125,13.3125,2.0625,2.0625,2.0625,6.606274,4.943164,0.3235632,3.650937,5.023185,5.121298
-0.01757813,0.9208984,0.5541992,-0.01806641,-0.7685547,0.6835938,1,-1,-1,26,26,6,11,1,0,6,16,29,7,2,-1,0,2,2,2,-1.25,-1.25,-1.25,6.608246,4.947025,0.3246442,3.649323,5.019854,5.118981
-0.1225586,0.9008789,0.5800781,-0.01123047,-0.7939453,0.6928711,0,-1,-15,14,-32,-7,-25,0,1,-1,-1,2,0,-7,-4,0,-8.375,-8.375,-8.375,7.3125,7.3125,7.3125,6.597725,4.975976,0.3316438,3.654557,5.022274,5.11677
-0.2246094,0.9072266,0.5253906,-0.04296875,-0.7797852,0.6850586,-9,-3,8,-1,2,2,7,-7,2,1,0,6,4,-9,-1,1,18.125,18.125,18.125,4.5625,4.5625,4.5625,6.611475,5.035612,0.3224714,3.65693,5.028183,5.114945
-0.2192383,0.8925781,0.4790039,-0.1196289,-0.8222656,0.6967773,-3,1,16,-1,0,1,-2,1,-1,-3,0,0,3,12,6,0,13.75,13.75,13.75,-7.4375,-7.4375,-7.4375,6.634604,5.117745,0.2890517,3.649714,5.050416,5.109232
-0.06103516,0.8066406,0.5683594,-0.1264648,-0.8232422,0.6831055,-11,-14,12,7,6,-2,-6,22,-3,-1,-5,-4,-12,-4,3,1,4.5625,4.5625,4.5625,4.75,4.75,4.75,6.6331,5.150923,0.2737278,3.648074,5.083097,5.102586
0.1098633,0.6821289,0.644043,-0.1186523,-0.7333984,0.6533203,0,0,-5,-4,-5,-8,-29,-96,-1,-2,-7,-9,-4,-4,-4,-1,0.0625,0.0625,0.0625,-7.375,-7.375,-7.375,6.624486,5.165611,0.2599517,3.645417,5.125979,5.100874
0.2519531,0.6992188,0.6376953,-0.128418,-0.7851563,0.6635742,0,-4,-9,-50,9,-31,32,17,0,-1,-3,1,-2,4,-4,-1,11.5625,11.5625,11.5625,-9.5,-9.5,-9.5,6.603456,5.177917,0.2195822,3.631226,5.169903,5.105071
0.0546875,0.9155273,0.4912109,-0.1420898,-0.7402344,0.6362305,2,8,5,40,60,15,-16,-36,2,0,0,-3,0,5,1,3,78.75,78.75,78.75,-1.6875,-1.6875,-1.6875,6.677697,5.139135,0.1741225,3.630536,5.208522,5.116329
0.1206055,1.157715,0.5834961,-0.1352539,-0.6943359,0.609375,-4,-13,-10,27,6,0,6,-6,-2,-1,-2,1,-7,-7,1,0,69.0625,69.0625,69.0625,-13.0625,-13.0625,-13.0625,6.773755,5.117694,0.1557721,3.622537,5.232995,5.133723
0.01513672,0.8842773,0.4462891,-0.1274414,-0.7260742,0.6142578,-7,-9,-11,-21,22,-13,-14,-3,-2,-1,-6,-13,0,0,-3,-3,-30.125,-30.125,-30.125,-12.625,-12.625,-12.625,6.761061,5.090146,0.1991369,3.608888,5.234261,5.147473
-0.04199219,0.8808594,0.4726563,-0.1118164,-0.730957,0.6206055,6,7,-4,-23,1,-1,1,2,-3,-3,-4,-8,-5,-4,-10,-8,-2.75,-2.75,-2.75,-5.5625,-5.5625,-5.5625,6.752051,5.062949,0.2494303,3.603771,5.221367,5.161199
-0.1987305,0.9301758,0.5708008,-0.09423828,-0.7207031,0.6542969,-23,-36,1,11,3,1,-5,-25,2,-2,-3,0,1,-2,4,2,-70.9375,-70.9375,-70.9375,-15.6875,-15.6875,-15.6875,6.69291,5.056439,0.305364,3.594471,5.198223,5.173387
-0.2080078,0.8554688,0.6054688,-0.05712891,-0.8007813,0.668457,12,-42,-13,-1,-6,-3,0,-4,-2,1,12,30,4,-6,1,-4,-76.5,-76.5,-76.5,-14.25,-14.25,-14.25,6.599052,5.084842,0.3349881,3.578707,5.166722,5.173315
-0.2075195,0.8041992,0.5751953,-0.05664063,-0.7963867,0.6704102,-3,21,4,1,-2,-1,-3,-4,-3,-2,-3,-5,-1,-4,2,1,-39.375,-39.375,-39.375,-0.875,-0.875,-0.875,6.542932,5.136588,0.3275102,3.575989,5.140683,5.164054
-0.1816406,0.7993164,0.5488281,-0.09619141,-0.7978516,0.6728516,0,7,6,-2,-9,0,-10,6,-1,-2,-5,-5,-5,-3,-18,-8,-12.1875,-12.1875,-12.1875,3.5625,3.5625,3.5625,6.519972,5.187449,0.2905386,3.578898,5.130354,5.151974
-0.2670898,0.7280273,0.3862305,-0.1425781,-0.7817383,0.6518555,1,2,0,39,24,-5,9,2,-1,-2,-2,-6,-2,0,4,2,17.1875,17.1875,17.1875,6.6875,6.6875,6.6875,6.523284,5.231599,0.2374048,3.586809,5.134269,5.140975
-0.1787109,0.8364258,0.3862305,-0.1293945,-0.8012695,0.6381836,5,-4,-7,-27,-29,-5,0,3,-3,-2,-2,-5,-4,5,0,0,60.25,60.25,60.25,5.1875,5.1875,5.1875,6.557924,5.238289,0.2055829,3.591785,5.143982,5.140803
-0.006347656,0.9931641,0.5253906,-0.1064453,-0.7978516,0.6049805,-1,-11,-4,10,-8,3,-1,2,-1,-3,-4,-2,13,19,0,-1,-22.9375,-22.9375,-22.9375,4.25,4.25,4.25,6.616043,5.192407,0.1727791,3.595589,5.152203,5.148241
-0.1665039,0.690918,0.6547852,-0.06494141,-0.8203125,0.6450195,0,-6,0,5,26,-1,0,1,-2,-2,-5,-5,-4,-4,3,3,-13.4375,-13.4375,-13.4375,-1.875,-1.875,-1.875,6.576506,5.164669,0.1900057,3.594578,5.154438,5.156429
-0.2216797,0.8334961,0.5712891,-0.08398438,-0.7744141,0.6171875,-8,-6,-8,-64,-18,-2,2,1,0,-2,-2,1,6,6,-4,-2,7.625,7.625,7.625,5.5,5.5,5.5,6.580346,5.1611,0.1943327,3.599304,5.157403,5.162062
-0.1938477,0.8535156,0.5258789,-0.08935547,-0.765625,0.65625,-1,4,-3,-11,-15,-1,-4,-1,1,-2,-2,-4,-4,-3,3,4,-4.9375,-4.9375,-4.9375,-7.4375,-7.4375,-7.4375,6.582285,5.161091,0.1909402,3.59469,5.15619,5.160144
-0.1845703,0.8457031,0.5449219,-0.1206055,-0.796875,0.6582031,-2,-2,-1,10,3,0,1,-2,-1,0,-3,-1,-5,-4,5,-1,-4.25,-4.25,-4.25,5.875,5.875,5.875,6.577224,5.163378,0.1816479,3.59627,5.153301,5.148387
-0.1523438,0.8388672,0.5424805,-0.1381836,-0.7641602,0.625,1,1,3,-5,-6,-5,2,-1,-3,-1,1,1,-2,7,2,1,-2.8125,-2.8125,-2.8125,7.4375,7.4375,7.4375,6.575524,5.163707,0.1765917,3.604507,5.152891,5.142335
-0.1411133,0.840332,0.5498047,-0.1103516,-0.7719727,0.6420898,0,1,-1,10,-9,1,-3,-3,-1,0,-2,-2,-2,4,0,-1,-0.4375,-0.4375,-0.4375,-2.125,-2.125,-2.125,6.574036,5.163213,0.1693342,3.604254,5.150892,5.142617
