ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,
0.9799805,0.2978516,-0.02441406,1.028809,-0.4086914,0.1069336,-6,0,1,2,0,-2,0,2,-1,3,1,10,24,10,3,3,-5.4375,-5.4375,-5.4375,-9.5,-9.5,-9.5,7.509731,2.968303,7.993386,2.872638,3.16239,6.293378,,,,,,,,,,,
0.9985352,0.3085938,-0.03857422,0.9785156,-0.5048828,0.2163086,-4,-4,-8,2,2,-1,-3,2,4,4,6,4,-21,-5,4,4,-6.375,-6.375,-6.375,-18.5625,-18.5625,-18.5625,7.479163,2.978676,8.021969,3.014911,3.257087,6.115,,,,,,,,,,,
1.036133,0.3862305,0.0625,0.9204102,-0.5708008,0.2734375,-2,-6,-32,-9,-3,-3,-11,-3,4,-1,-1,14,6,-9,-1,0,-2.125,-2.125,-2.125,-18.125,-18.125,-18.125,7.274912,3.047408,8.235359,3.137357,3.381873,5.951462,,,,,,,,,,,
1.020508,0.4882813,0.1948242,0.8325195,-0.6494141,0.3725586,-1,-9,-18,-16,-7,-6,-17,-5,-2,-3,1,3,-8,-14,-5,-3,18.125,18.125,18.125,-15.625,-15.625,-15.625,7.028031,3.195382,8.518832,3.23752,3.534752,5.808233,,,,,,,,,,,
1.010742,0.6015625,0.2363281,0.7338867,-0.6928711,0.4301758,-4,-2,3,-1,3,-3,1,1,1,-1,0,-6,3,-1,3,1,13.3125,13.3125,13.3125,-4.8125,-4.8125,-4.8125,6.89585,3.348066,8.686585,3.327957,3.703927,5.680288,,,,,,,,,,,
0.9506836,0.6455078,0.3134766,0.6660156,-0.6494141,0.4448242,5,3,18,15,-4,1,6,1,-1,-2,1,-7,-21,-14,-7,-2,9,9,9,0.1875,0.1875,0.1875,6.838296,3.439009,8.760219,3.408771,3.88143,5.561737,,,,,,,,,,,
0.6879883,0.7255859,0.409668,0.5131836,-0.6464844,0.4794922,-2,12,11,-36,-9,-2,-3,-1,3,-4,18,-4,-12,-4,4,0,-3.875,-3.875,-3.875,-7,-7,-7,6.710348,3.751808,8.93292,3.46943,4.066049,5.45418,,,,,,,,,,,
0.5361328,0.6494141,0.4667969,0.456543,-0.7006836,0.5224609,2,6,6,16,0,0,3,1,-2,-2,-9,-9,7,9,-1,0,-13.8125,-13.8125,-13.8125,-10.25,-10.25,-10.25,6.646803,3.98191,9.009737,3.501501,4.248024,5.363163,,,,,,,,,,,
0.3613281,0.6958008,0.496582,0.3549805,-0.7021484,0.5322266,-2,-2,-22,19,-20,0,5,1,-3,1,0,18,44,7,-6,-5,8.375,8.375,8.375,10.875,10.875,10.875,6.617983,4.215289,9.070047,3.540144,4.43074,5.283572,,,,,,,,,,,
0.2563477,0.7128906,0.4599609,0.2392578,-0.6660156,0.5576172,0,-8,-10,-8,-18,-4,1,1,-5,-1,-5,-4,-12,-8,-4,-5,3.5,3.5,3.5,0.125,0.125,0.125,6.609363,4.442376,9.10473,3.56751,4.600281,5.212343,,,,,,,,,,,
0.1860352,0.7456055,0.4804688,0.2197266,-0.6972656,0.5830078,-1,14,22,37,6,-2,-3,0,2,0,-1,-1,-3,-5,-9,-2,5.125,5.125,5.125,-8.625,-8.625,-8.625,6.607515,4.546908,9.119907,3.571622,4.750176,5.151392,,,,,,,,,,,
0.1630859,0.6757813,0.4731445,0.3305664,-0.6425781,0.3422852,1,-2,0,5,3,-1,-3,-1,-3,-1,-3,-4,-4,-26,-7,-3,6.875,6.875,6.875,-2.8125,-2.8125,-2.8125,6.606709,4.727395,9.147535,3.566996,4.864449,5.113698,,,,,,,,,,,
0.1025391,0.7319336,0.5107422,0.8681641,-0.640625,0.9262695,-3,-3,0,3,2,3,-2,-5,-2,-2,-1,6,9,16,-2,-3,12.8125,12.8125,12.8125,-8,-8,-8,6.626135,4.92388,9.176207,3.575159,4.950986,5.086043,,,,,,,,,,,
-0.0390625,0.7490234,0.4711914,0.1704102,-0.5693359,0.2919922,-2,-9,-7,-8,2,-2,-2,0,-2,-2,0,4,3,21,5,-1,11.1875,11.1875,11.1875,9.3125,9.3125,9.3125,6.634753,5.005792,9.190924,3.578317,4.998209,5.069579,,,,,,,,,,,
-0.1782227,0.9140625,0.4746094,0.02050781,-0.7382813,0.6411133,1,3,6,13,10,-2,-3,-2,-1,-1,12,17,4,5,-2,-2,11.875,11.875,11.875,-9.5625,-9.5625,-9.5625,6.657743,5.072299,9.218919,3.575431,5.055089,5.065811,,,,,,,,,,,
0.03027344,0.7768555,0.5605469,-0.006347656,-0.7817383,0.5839844,-3,-17,-23,-21,-7,-4,6,-4,1,1,-4,-6,1,0,-2,1,1.25,1.25,1.25,9.4375,9.4375,9.4375,6.655276,5.082571,9.228647,3.57833,5.083184,5.066611,,,,,,,,,,,
-0.03417969,0.7973633,0.5297852,-0.015625,-0.7519531,0.6318359,-1,1,-6,-7,0,-2,-3,-1,-1,-1,-4,-2,-6,-8,-2,-7,1.875,1.875,1.875,-13.4375,-13.4375,-13.4375,6.65487,5.091909,9.248091,3.573934,5.09644,5.081759,,,,,,,,,,,
