ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
-0.1538086,0.8295898,0.5429688,-0.07080078,-0.8276367,0.5493164,-1,-2,-2,-12,-17,-2,-3,-2,-1,-2,3,-5,-2,-2,-12,-3,0.5625,0.5625,0.5625,-0.5,-0.5,-0.5,6.625133,5.226392,1.383883,3.38523,5.138396,5.142072
-0.1518555,0.8334961,0.5380859,-0.01855469,-0.8305664,0.5571289,2,2,1,-6,-3,0,-2,0,1,0,2,2,1,2,-4,-1,0.5,0.5,0.5,7.3125,7.3125,7.3125,6.622648,5.218483,1.376372,3.392108,5.116084,5.143154
-0.1240234,0.809082,0.5297852,0.00390625,-0.8071289,0.5698242,0,4,-2,-4,2,2,1,-4,-1,1,4,2,-2,-1,0,0,-3.9375,-3.9375,-3.9375,10.25,10.25,10.25,6.618639,5.212281,1.370142,3.399637,5.099547,5.143438
-0.1254883,0.6982422,0.4829102,-0.03564453,-0.6977539,0.4638672,-2,-2,-2,-1,-5,-4,-15,1,3,-1,0,-3,-1,-1,0,0,2.1875,2.1875,2.1875,9.625,9.625,9.625,6.605307,5.170141,1.335348,3.421044,5.014674,5.154495
-0.0625,0.7060547,0.4599609,-0.01513672,-0.7216797,0.4785156,1,0,0,-15,-16,-13,2,2,7,-3,1,-3,-2,0,-1,-3,-14.625,-14.625,-14.625,-0.5625,-0.5625,-0.5625,6.594024,5.091088,1.29817,3.424587,4.919643,5.189836
-0.09814453,0.65625,0.4736328,0.09179688,-0.7324219,0.5454102,-3,-1,1,62,10,-6,-1,-4,0,0,-1,-2,1,-1,-2,1,-36.8125,-36.8125,-36.8125,2.125,2.125,2.125,6.555143,4.962584,1.259045,3.42107,4.781032,5.239704
-0.04443359,0.6005859,0.4912109,0.05175781,-0.7553711,0.4892578,-1,-5,-10,-12,-4,-2,1,-2,0,-2,-3,-3,-5,-5,-5,-1,-19.4375,-19.4375,-19.4375,25.875,25.875,25.875,6.544984,4.878917,1.23469,3.436866,4.612595,5.282988
0.1845703,0.71875,0.5219727,0.2709961,-0.6079102,0.4921875,3,1,4,-5,1,-1,-2,-3,-1,-1,-3,-3,-2,-1,-1,2,28.75,28.75,28.75,17.3125,17.3125,17.3125,6.585723,4.58356,1.154378,3.449152,4.412026,5.330354
0.3422852,0.815918,0.4384766,0.3256836,-0.6782227,0.5063477,-1,1,1,-3,1,-2,1,1,-2,-3,-5,1,1,1,9,-1,25.375,25.375,25.375,-12.1875,-12.1875,-12.1875,6.625736,4.345137,1.131378,3.415701,4.205288,5.390093
0.5454102,0.637207,0.4921875,0.5761719,-0.7753906,0.418457,-3,1,-2,-2,-4,-4,1,-1,-1,0,14,-2,2,1,3,2,-2.5625,-2.5625,-2.5625,-15,-15,-15,6.627423,4.097689,1.131055,3.353318,3.984217,5.470982
0.5449219,0.6230469,0.3930664,0.7768555,-0.6894531,0.402832,-8,-1,-3,2,2,1,-1,-2,-3,1,0,-8,0,-1,0,0,31,31,31,35,35,35,6.667176,3.857608,1.099393,3.317553,3.769458,5.559397
0.8022461,0.6762695,0.3774414,0.7553711,-0.5371094,0.2563477,2,3,-1,1,1,-2,-2,0,2,-1,-3,0,-1,-3,-3,-2,27.6875,27.6875,27.6875,43.375,43.375,43.375,6.759435,3.613138,1.023037,3.287089,3.563164,5.675117
0.8505859,0.6494141,0.3500977,1.045898,-0.5166016,0.2392578,-2,0,-1,-2,1,-1,-2,-1,-2,-1,-4,0,2,1,0,1,10.625,10.625,10.625,0.375,0.375,0.375,6.807546,3.491286,0.9695761,3.159809,3.362715,5.838793
1.043945,0.5014648,0.2001953,1.054688,-0.6264648,0.2241211,-4,-1,-1,-1,0,3,-1,3,-2,0,0,-3,-4,-3,1,-3,-6.0625,-6.0625,-6.0625,9,9,9,6.952512,3.25638,0.7962738,3.081185,3.271894,5.934662
1.19043,0.4589844,0.0546875,1.086914,-0.5097656,0.09228516,-1,-1,-2,-1,0,-2,0,-5,-1,-1,-2,4,0,-2,-3,-2,-31.875,-31.875,-31.875,58.25,58.25,58.25,7.19423,3.058327,0.5037521,2.908894,3.1072,6.178731
1.209961,0.2929688,-0.1933594,1.088379,-0.3876953,-0.04541016,-3,0,0,1,-6,0,-3,2,-5,-2,0,-1,0,0,4,-1,-42.875,-42.875,-42.875,69.6875,69.6875,69.6875,7.535375,2.926915,0.09747842,2.679697,2.996113,6.50573
1.104492,0.2871094,-0.3007813,1.117676,-0.2524414,0.05322266,6,-1,-2,0,-5,0,0,0,-1,0,-1,1,1,-3,-1,5,-20.25,-20.25,-20.25,73.1875,73.1875,73.1875,7.906727,2.870882,9.689529,2.475528,2.931146,6.799744
1.078125,0.2094727,-0.2573242,1.009277,-0.1450195,-0.1313477,1,0,-1,-2,2,-1,-4,-3,-2,-2,-1,-1,-1,-1,-1,-6,-18.1875,-18.1875,-18.1875,13.75,13.75,13.75,8.02773,2.854739,9.556261,2.327553,2.892821,6.997399
0.9882813,0.2426758,-0.1264648,0.9985352,-0.3481445,0.08349609,6,-1,-2,1,0,2,4,-3,0,-1,0,-3,-1,-3,-3,-6,29.8125,29.8125,29.8125,-48.3125,-48.3125,-48.3125,8.120346,2.83723,9.482173,2.217303,2.868001,7.066071
0.9492188,0.2910156,0.04101563,0.9804688,-0.4506836,0.07861328,-6,2,2,1,-1,-2,-3,-2,-3,-1,-1,-1,-2,0,-1,-9,45.5625,45.5625,45.5625,-31.5625,-31.5625,-31.5625,8.034476,2.831087,9.615494,2.216267,2.867116,7.050663
0.9072266,0.371582,0.1416016,0.9360352,-0.3999023,0.09423828,9,-3,-2,-2,4,2,0,-2,-2,-2,0,-1,-2,0,1,0,38.0625,38.0625,38.0625,17.25,17.25,17.25,7.846762,2.839968,9.852975,2.283011,2.871375,6.993459
0.8662109,0.4140625,0.1889648,0.9140625,-0.3374023,0.125,-3,-2,-1,2,-1,-1,-1,-7,-2,-4,0,-1,0,0,1,0,4.1875,4.1875,4.1875,23.0625,23.0625,23.0625,7.672619,2.864928,0.04386393,2.395952,2.879811,6.905393
0.8535156,0.3989258,0.1743164,0.9003906,-0.3232422,0.1157227,-2,0,0,-2,5,-4,0,-1,-1,-4,-3,-4,0,-1,-1,1,-16.5,-16.5,-16.5,16.9375,16.9375,16.9375,7.613927,2.87924,0.09235793,2.492951,2.897754,6.828893
0.8603516,0.3383789,0.09912109,0.9296875,-0.340332,0.09375,-5,0,-2,2,-5,-3,-2,1,0,-3,-2,2,0,-1,0,-3,-49.9375,-49.9375,-49.9375,19.1875,19.1875,19.1875,7.562756,2.902789,0.0952038,2.568603,2.924144,6.773492
0.9135742,0.2753906,0.03613281,0.956543,-0.3398438,0.06982422,-1,1,0,6,-3,-3,1,6,0,0,-2,0,2,-2,-3,2,-62.875,-62.875,-62.875,23.5625,23.5625,23.5625,7.543857,2.921536,0.04309945,2.601437,2.938791,6.753696
0.9575195,0.2211914,-0.01855469,0.9931641,-0.3227539,0.03857422,-4,0,-2,1,0,-3,-1,1,-2,-1,-2,-1,-1,-1,-1,-4,-44.125,-44.125,-44.125,27.5625,27.5625,27.5625,7.53298,2.932667,9.997409,2.665446,2.968213,6.718969
0.9833984,0.2045898,-0.03662109,1.004395,-0.3022461,0.006347656,3,0,0,-3,-1,1,-1,4,-1,-4,-2,-1,1,0,-1,-4,-13.625,-13.625,-13.625,17.6875,17.6875,17.6875,7.504567,2.942596,0.002928387,2.726299,2.999115,6.678451
