ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
0.1015625,0.6137695,0.5380859,0.5385742,-0.7431641,0.4941406,15,-10,-22,-6,-37,-4,-2,1,-2,4,22,43,-13,1,-8,-6,-14,-14,-14,-2.625,-2.625,-2.625,6.403939,4.512103,1.847115,3.310584,4.113545,5.592538,-0.100766,-0.2862338,1.505352,0.1582445,-0.1107396,1.422889,0.06940771,0.4204314,1.656532,-0.1119682,-0.259324,1.455,0.1270424,-0.08856574,1.505786,0.06240979,-0.06481035,1.671768,0.06283665,-0.3875249,1.648438,-0.1180839,0.1219084,1.667595,-0.01306943,-0.3778101,1.615116,-0.209459,-0.08172671,1.696265,0.3545572,-0.09708849,1.632337,NA,NA,Unknown,Unknown
0.08007813,0.7250977,0.5776367,0.4428711,-0.7236328,0.4804688,23,6,-2,-3,-3,-5,0,3,-3,-8,-6,-11,-21,-4,-4,-2,9.375,9.375,9.375,8.25,8.25,8.25,6.404328,4.779113,1.920437,3.344838,4.23481,5.533579,-0.0944297,-0.2328089,1.489302,0.148701,-0.08962341,1.43151,0.06943335,0.4204501,1.656564,-0.1143809,-0.2182415,1.436149,0.09944523,-0.08962195,1.456,0.06242142,-0.06473964,1.671713,0.06293621,-0.3872822,1.648253,-0.1181351,0.1223704,1.667909,-0.01287902,-0.3776363,1.615042,-0.2127744,-0.07646648,1.693649,0.354507,-0.09922705,1.629727,NA,NA,Unknown,Closed
0.08007813,0.7250977,0.5776367,0.2270508,-0.730957,0.4755859,8,-4,17,-1,-10,1,1,4,-3,-1,3,2,-4,-1,-9,-1,9.375,9.375,9.375,16.25,16.25,16.25,6.404328,4.779113,1.920437,3.401033,4.489409,5.433216,-0.05324738,-0.2024581,1.474074,0.1486183,-0.05960187,1.417823,0.06942493,0.4204877,1.656695,-0.07477362,-0.1753387,1.424389,0.115573,-0.08738139,1.501833,0.06234299,-0.06469908,1.671737,0.06282601,-0.3871813,1.648283,-0.1181317,0.1228011,1.668121,-0.01290465,-0.3775615,1.615167,-0.2156152,-0.07589865,1.688025,0.3549878,-0.101525,1.629538,NA,NA,Unknown,Closed
0.03369141,0.621582,0.6196289,0.1757813,-0.7255859,0.4916992,0,19,2,0,17,2,1,-3,0,-1,-12,-13,-6,18,24,2,17.1875,17.1875,17.1875,9.9375,9.9375,9.9375,6.40758,4.970118,1.990863,3.418859,4.614202,5.389666,-0.03757463,-0.1532141,1.468265,0.1442247,-0.04894595,1.427866,0.06941328,0.420489,1.656861,-0.05831766,-0.1292193,1.416462,0.1094983,-0.08990636,1.520263,0.06221049,-0.06457724,1.671811,0.06253455,-0.3868074,1.648415,-0.1181374,0.1231363,1.668393,-0.01310393,-0.3772098,1.615459,-0.2201291,-0.07419752,1.683259,0.3564926,-0.1104241,1.647663,NA,NA,Unknown,Closed
-0.01660156,0.7753906,0.6328125,0.09716797,-0.6860352,0.5097656,-6,5,7,3,5,-1,-3,0,-11,-2,-5,14,-9,-7,-2,1,15.3125,15.3125,15.3125,-0.625,-0.625,-0.625,6.425552,5.059828,2.032093,3.446403,4.944757,5.284127,-0.03247208,-0.1084564,1.479139,0.1370292,-0.03438869,1.429153,0.06934329,0.4205191,1.657142,-0.04774591,-0.08188257,1.419066,0.0980396,-0.07400706,1.522535,0.06210786,-0.06441305,1.671919,0.06237061,-0.3863986,1.64854,-0.118062,0.123255,1.668493,-0.01318141,-0.3767631,1.615685,-0.2215676,-0.07415108,1.677943,0.3553711,-0.1126519,1.65004,NA,NA,NotTracked,Closed
0.001953125,0.7568359,0.6225586,0.05664063,-0.7158203,0.3583984,2,14,1,4,10,4,-1,0,8,16,-4,-9,6,7,-9,-10,12.125,12.125,12.125,-17,-17,-17,6.432359,5.091514,2.049926,3.427812,5.105847,5.241431,-0.02695952,-0.07393557,1.472201,0.1377497,-0.02135398,1.418781,0.06935074,0.4205469,1.657447,-0.04665778,-0.05111948,1.421084,0.111345,-0.04713482,1.5145,0.06204441,-0.06429224,1.672019,0.06229698,-0.3860977,1.648667,-0.118051,0.1233256,1.668565,-0.01319721,-0.3764682,1.615846,-0.2201371,-0.07632656,1.66451,0.3536309,-0.1140734,1.649082,NA,NA,NotTracked,NotTracked
-0.04443359,0.7451172,0.6469727,-0.008789063,-0.7949219,0.4345703,-3,20,11,-3,8,-2,-1,-3,4,2,4,-18,-3,-3,-10,-8,2.8125,2.8125,2.8125,-19.5625,-19.5625,-19.5625,6.439058,5.159037,2.087203,3.41344,5.158109,5.228315,0.1100009,-0.002111857,1.414855,0.1529188,-0.02662298,1.421011,0.06943233,0.420576,1.657873,0.1190558,0.02333479,1.394448,0.09214575,-0.02518609,1.417,0.06191242,-0.06412765,1.672196,0.06212493,-0.3857196,1.648907,-0.1179835,0.1233968,1.668614,-0.0132714,-0.3760801,1.616189,-0.2165175,-0.07855396,1.654235,0.3115055,-0.09714655,1.613648,NA,NA,NotTracked,NotTracked
-0.04443359,0.7451172,0.6469727,0.03808594,-0.7226563,0.4951172,5,10,7,0,-3,5,-1,0,7,1,11,20,12,3,4,7,2.8125,2.8125,2.8125,-15.4375,-15.4375,-15.4375,6.439058,5.159037,2.087203,3.395954,5.215249,5.202368,0.100365,0.004310003,1.417189,0.150184,-0.02066606,1.421656,0.06930822,0.4207496,1.658764,0.09810983,0.03170636,1.413111,0.08568165,-0.01669622,1.415167,0.06177399,-0.06397272,1.672343,0.06197064,-0.3854472,1.649029,-0.1179744,0.1235005,1.668721,-0.01338921,-0.3758799,1.616411,-0.2135684,-0.07989743,1.647158,0.311365,-0.09710047,1.613415,NA,NA,NotTracked,NotTracked
-0.1040039,0.7456055,0.6430664,0.05322266,-0.8212891,0.5024414,7,22,2,2,-15,-3,0,1,-5,3,6,8,2,-3,-8,-3,-4.5625,-4.5625,-4.5625,-26,-26,-26,6.433379,5.208883,2.109812,3.36595,5.224621,5.18516,0.09762879,0.007616079,1.418099,0.1486205,-0.01586486,1.421389,0.06932788,0.4208785,1.659425,0.104807,0.03210349,1.394788,0.08785924,-0.01184403,1.4186,0.06172296,-0.06392929,1.67242,0.06190499,-0.3854016,1.649089,-0.1179137,0.1235936,1.668764,-0.01345499,-0.3758701,1.616609,-0.2126675,-0.08008898,1.643008,0.3110811,-0.09705999,1.612116,NA,NA,NotTracked,NotTracked
-0.1064453,0.7514648,0.6347656,-0.04492188,-0.871582,0.5708008,2,2,12,-1,1,-1,0,-1,-3,1,-1,-4,-7,-6,-14,-1,-5.5625,-5.5625,-5.5625,4.375,4.375,4.375,6.426443,5.232013,2.113494,3.362505,5.217878,5.179374,0.09225813,0.01187452,1.418945,0.1456091,-0.006552279,1.419499,0.06951284,0.4209913,1.660066,0.08473563,0.03400904,1.401404,0.1374719,-0.02747986,1.396,0.06161202,-0.06389467,1.672587,0.06178001,-0.3853703,1.649194,-0.1178288,0.1237488,1.668815,-0.01359622,-0.3758478,1.616862,-0.2129246,-0.07965618,1.640488,0.3108671,-0.09699132,1.611245,NA,NA,NotTracked,NotTracked
