ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.2006836,0.6865234,0.5283203,0.1523438,-0.6728516,0.5947266,-1,-1,2,2,-8,-2,-3,0,-1,-3,-4,-4,-2,-13,-3,-1,4.1875,4.1875,4.1875,17,17,17,6.53981,4.824338,9.614676,3.669981,4.877989,5.05377
0.1694336,0.7543945,0.5332031,0.1191406,-0.715332,0.6474609,-6,4,-8,-38,3,-3,-1,-2,0,0,-3,-3,-14,-18,-3,3,27.125,27.125,27.125,-14.8125,-14.8125,-14.8125,6.553748,4.851849,9.617298,3.66136,4.901943,5.058767
0.1264648,0.8427734,0.5219727,0.1376953,-0.7841797,0.7070313,-5,-9,-20,-15,6,8,2,-3,-4,-2,2,6,-4,-9,-1,-2,-3.5625,-3.5625,-3.5625,-4.0625,-4.0625,-4.0625,6.579233,4.894717,9.634691,3.652496,4.911201,5.060272
0.0234375,0.8891602,0.5849609,0.08349609,-0.7148438,0.7021484,-4,-11,-10,-6,4,-3,1,0,0,0,0,-3,10,7,-2,4,21.625,21.625,21.625,7.75,7.75,7.75,6.584774,4.931347,9.642199,3.662372,4.920329,5.051782
0.0234375,0.8891602,0.5849609,-0.000488281,-0.737793,0.6806641,-1,-1,0,15,10,15,-6,-3,-1,0,1,4,1,3,0,0,21.625,21.625,21.625,-3,-3,-3,6.584774,4.931347,9.642199,3.663608,4.93221,5.050267
-0.1689453,0.9077148,0.5078125,-0.006347656,-0.7612305,0.6796875,2,-2,1,-14,35,5,-1,-2,-4,-3,-17,-12,-9,-9,-1,1,7.9375,7.9375,7.9375,9.0625,9.0625,9.0625,6.596312,4.965613,9.640461,3.670881,4.939973,5.049168
0.1083984,0.8916016,0.3198242,-0.04882813,-0.7602539,0.6918945,-3,-18,1,7,14,2,4,-3,-1,-2,-2,-10,-1,6,-1,-1,-0.0625,-0.0625,-0.0625,1.9375,1.9375,1.9375,6.611094,5.013082,9.629905,3.675206,4.955726,5.04209
-0.7495117,0.5810547,0.4780273,-0.06542969,-0.7714844,0.6523438,8,-7,0,4,-5,1,-2,17,0,-1,1,2,8,22,-2,0,-5.1875,-5.1875,-5.1875,3.375,3.375,3.375,6.607472,5.103157,9.624964,3.677027,4.978794,5.044825
0.456543,0.9682617,0.565918,-0.02246094,-0.7739258,0.6958008,-4,-7,-3,0,0,-1,0,-4,1,0,6,7,5,-10,-3,-1,4.75,4.75,4.75,-8.3125,-8.3125,-8.3125,6.626067,5.108617,9.616595,3.67017,5.003903,5.053323
0.5302734,0.7773438,0.5336914,-0.04638672,-0.7758789,0.6962891,2,6,-1,-18,52,-3,-2,3,-5,2,0,-1,-1,6,1,-2,8.625,8.625,8.625,0.625,0.625,0.625,6.617937,5.078932,9.600824,3.668063,5.033494,5.057616
-0.1005859,0.7919922,0.3818359,-0.06445313,-0.746582,0.6479492,1,0,-14,29,86,15,-14,6,3,-1,-4,-3,-3,-5,2,2,34,34,34,-0.5,-0.5,-0.5,6.639606,5.061034,9.591797,3.668222,5.060647,5.067036
0.2578125,1.065918,0.6152344,-0.04931641,-0.7348633,0.6274414,-3,9,3,18,-8,-5,-9,-13,0,-2,-8,-2,-1,11,5,1,55.25,55.25,55.25,-10.4375,-10.4375,-10.4375,6.751436,4.968878,9.562894,3.65776,5.07634,5.081847
