ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9248047,0.2836914,0.01904297,0.9238281,-0.3535156,0.06640625,-1,0,0,-2,0,1,1,0,0,0,0,-1,-2,0,-4,-2,-0.5625,-0.5625,-0.5625,-0.6875,-0.6875,-0.6875,7.50804,2.975432,9.258348,2.804752,3.096967,6.436621
0.9306641,0.2929688,0.02783203,0.9291992,-0.3535156,0.07177734,-1,-1,-1,0,-1,-2,1,1,0,-1,1,-1,0,-2,0,-1,0.5625,0.5625,0.5625,-0.875,-0.875,-0.875,7.509691,2.974796,9.256264,2.805121,3.09699,6.436417
0.9316406,0.2949219,0.02539063,0.925293,-0.3613281,0.06982422,1,-2,0,-1,-2,-2,-1,-5,2,2,0,0,-3,-1,-5,0,0.1875,0.1875,0.1875,-0.875,-0.875,-0.875,7.510401,2.975329,9.254679,2.805121,3.09699,6.436417
0.9316406,0.2949219,0.02246094,0.9233398,-0.3564453,0.06835938,-3,1,0,-1,0,0,-1,0,3,2,-2,-3,-2,-1,-1,0,0.125,0.125,0.125,-0.6875,-0.6875,-0.6875,7.512534,2.975608,9.251791,2.802544,3.096769,6.438697
0.9301758,0.2924805,0.02929688,0.9262695,-0.3540039,0.0703125,-2,-2,-1,0,-2,-2,3,0,-2,-1,-1,1,-1,-1,-1,-1,0.5,0.5,0.5,-0.6875,-0.6875,-0.6875,7.513848,2.974996,9.251478,2.798893,3.095941,6.442233
0.9311523,0.2954102,0.02978516,0.9277344,-0.3613281,0.06152344,-3,-2,0,-3,-3,-3,-3,-6,-2,-1,-1,-1,0,-2,-5,-3,-0.5625,-0.5625,-0.5625,-1,-1,-1,7.513098,2.976719,9.25052,2.793874,3.095529,6.44642
0.9267578,0.2915039,0.02636719,0.9306641,-0.3579102,0.06787109,-1,0,0,0,-1,0,0,-2,-1,0,1,0,-1,-1,3,-2,0,0,0,-0.25,-0.25,-0.25,7.512358,2.977834,9.250324,2.791992,3.095546,6.447896
0.9272461,0.2895508,0.02880859,0.9277344,-0.3505859,0.06445313,-1,-1,-1,0,-1,1,1,-1,1,2,0,-2,-2,-3,-2,-2,0.75,0.75,0.75,-0.75,-0.75,-0.75,7.511419,2.978997,9.250831,2.791347,3.095158,6.44851
0.9321289,0.2871094,0.02636719,0.925293,-0.3515625,0.07373047,-1,-2,0,1,-1,-2,-2,-3,-4,0,5,-1,-3,-3,-10,-1,-0.0625,-0.0625,-0.0625,-1.25,-1.25,-1.25,7.511068,2.98017,9.25125,2.792238,3.096098,6.447076
0.9287109,0.2880859,0.02685547,0.9575195,-0.3745117,0.05371094,-1,-2,0,-1,-1,1,-1,3,0,-15,-1,10,15,6,23,-1,-0.9375,-0.9375,-0.9375,-3.4375,-3.4375,-3.4375,7.50986,2.980319,9.252004,2.791618,3.098218,6.444395
0.9326172,0.284668,0.0234375,0.9599609,-0.3886719,0.0234375,0,-3,0,-1,-1,0,-2,-1,-2,0,-3,5,10,-3,-9,-2,0.625,0.625,0.625,-0.125,-0.125,-0.125,7.506435,2.981335,9.254698,2.810697,3.108448,6.421684
