ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
1.087891,0.5029297,0.1655273,0.7133789,-0.6777344,0.4423828,2,-1,-22,6,-1,1,11,-2,-1,0,-5,-1,15,11,4,-1,36.625,36.625,36.625,1.9375,1.9375,1.9375,7.093144,3.221049,0.02599502,3.203945,3.735859,5.797507
1.007813,0.6889648,0.2998047,0.4858398,-0.6884766,0.487793,1,6,5,6,1,0,-2,3,-5,-1,4,1,14,16,-3,-3,37.875,37.875,37.875,-4.5,-4.5,-4.5,6.96684,3.398857,0.2218287,3.314702,4.040957,5.622013
0.7817383,0.7421875,0.3837891,0.4291992,-0.6616211,0.5166016,-2,5,35,57,11,1,-3,3,-3,-10,-12,-7,-21,-14,-1,1,-7.5,-7.5,-7.5,0.0625,0.0625,0.0625,6.84239,3.611994,0.3821662,3.344904,4.141894,5.56778
0.6098633,0.6884766,0.4970703,0.3378906,-0.6601563,0.5195313,0,-3,19,-16,-3,-4,-10,0,-1,1,4,9,7,2,5,0,-21.125,-21.125,-21.125,3.0625,3.0625,3.0625,6.738358,3.851978,0.488971,3.396347,4.343352,5.464684
0.387207,0.6586914,0.5229492,0.2314453,-0.6987305,0.5024414,4,-7,19,-5,-8,-6,9,1,-2,2,6,9,-3,-32,-2,-4,-11.125,-11.125,-11.125,-0.875,-0.875,-0.875,6.676628,4.111422,0.5635605,3.427127,4.529925,5.376235
0.2880859,0.6796875,0.5004883,0.1577148,-0.7275391,0.5048828,1,13,0,16,6,6,8,1,0,-2,3,18,11,13,-4,0,1.875,1.875,1.875,-1.625,-1.625,-1.625,6.648571,4.370873,0.6153789,3.447686,4.697327,5.298601
0.112793,0.7241211,0.480957,0.1191406,-0.7172852,0.5297852,2,-2,-3,35,37,6,-3,-1,1,0,1,4,6,-13,-6,-2,1.6875,1.6875,1.6875,9.0625,9.0625,9.0625,6.63743,4.62015,0.6607338,3.465227,4.841843,5.227509
0.06152344,0.6601563,0.4599609,0.06835938,-0.703125,0.4990234,6,13,12,-13,11,1,-5,1,-1,3,5,1,4,-1,-10,-4,4.6875,4.6875,4.6875,-9.625,-9.625,-9.625,6.631813,4.834754,0.6957594,3.467157,4.951976,5.16545
0.002929688,0.7211914,0.4550781,0.07226563,-0.84375,0.5849609,-1,3,-13,-9,-26,2,-3,-4,-5,-3,-2,-8,-4,6,5,-4,23.5,23.5,23.5,-6.25,-6.25,-6.25,6.653188,5.0016,0.732169,3.455362,5.034547,5.125479
-0.01464844,0.75,0.4599609,0.03759766,-0.7548828,0.5219727,2,-1,-4,-22,6,-3,1,0,-1,0,-5,-12,-9,-22,-10,-5,20,20,20,20.75,20.75,20.75,6.664028,5.063915,0.7514337,3.472794,5.093989,5.096818
