ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9326172,0.2880859,0.03369141,0.9306641,-0.3432617,0.05224609,-2,0,-1,-1,-2,-1,0,-1,-1,-1,-2,-2,0,0,3,0,-0.625,-0.625,-0.625,-1.1875,-1.1875,-1.1875,7.434242,2.97986,8.363242,2.751223,3.069447,6.466265
0.9311523,0.2954102,0.03662109,0.9306641,-0.3374023,0.05810547,0,-2,-2,0,0,-1,-1,-3,0,-1,-1,-1,-2,-2,1,-4,-0.625,-0.625,-0.625,0,0,0,7.433701,2.97915,8.362859,2.751599,3.069477,6.466055
0.9267578,0.2929688,0.03417969,0.9335938,-0.3388672,0.05371094,-1,1,-1,-1,-1,-1,-2,1,-1,0,-1,-2,-2,-1,0,-2,-1.125,-1.125,-1.125,-1.875,-1.875,-1.875,7.433093,2.978988,8.362509,2.750033,3.068699,6.466569
0.9291992,0.2910156,0.03808594,0.9355469,-0.3457031,0.05810547,-1,0,-1,0,-1,0,-1,1,-3,-1,-2,-2,-3,0,-3,-2,-0.4375,-0.4375,-0.4375,-0.5,-0.5,-0.5,7.432106,2.978872,8.362072,2.749094,3.068481,6.466631
0.9277344,0.2924805,0.03564453,0.9355469,-0.3398438,0.05419922,-1,-1,0,-1,-1,-3,-2,0,-1,-3,0,-2,-1,1,4,0,-0.3125,-0.3125,-0.3125,0.125,0.125,0.125,7.435323,2.978975,8.357797,2.750151,3.068914,6.465772
0.9257813,0.2949219,0.03662109,0.934082,-0.3364258,0.05224609,-2,-1,-2,-1,0,-3,0,-1,7,6,-3,1,2,2,2,0,1,1,1,-1.6875,-1.6875,-1.6875,7.438599,2.979368,8.354189,2.748608,3.068482,6.466307
0.9233398,0.2905273,0.03662109,0.9291992,-0.3564453,0.046875,-1,0,0,-1,1,0,-2,-2,-4,-12,-3,0,0,-1,0,-2,-0.3125,-0.3125,-0.3125,-5.5625,-5.5625,-5.5625,7.442118,2.979133,8.350142,2.738408,3.070476,6.471664
0.9272461,0.2880859,0.03662109,0.9428711,-0.3686523,0.06787109,0,-2,-1,-1,-2,1,-2,-2,-1,-2,-2,-1,-1,0,-4,0,0.125,0.125,0.125,-5.6875,-5.6875,-5.6875,7.444793,2.979361,8.346189,2.727746,3.073863,6.473197
0.9301758,0.2915039,0.03808594,0.9375,-0.2993164,0.03271484,-1,0,-1,0,-1,-1,1,-2,6,-2,-4,0,0,2,-2,1,-0.5,-0.5,-0.5,2.1875,2.1875,2.1875,7.447462,2.978987,8.343292,2.728887,3.072506,6.476326
0.9267578,0.2841797,0.03662109,0.9360352,-0.3027344,0.03466797,-2,0,-2,-1,-2,-1,0,-2,-9,-5,2,-2,-1,-1,-4,-3,-0.9375,-0.9375,-0.9375,-3.5,-3.5,-3.5,7.448019,2.978266,8.340135,2.724197,3.070341,6.478963
