ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,,,,,,,
-0.04833984,0.7177734,0.4819336,0,-0.6889648,0.5805664,0,-1,-9,-1,-1,-1,-3,3,1,1,-1,-2,2,2,-3,1,23.75,23.75,23.75,1.5,1.5,1.5,6.600782,5.124469,9.325467,3.595618,5.157857,5.110247,,,,,,,,,,,
-0.05566406,0.7685547,0.4897461,-0.03271484,-0.753418,0.5966797,-2,11,-3,15,2,3,5,-3,-3,-2,-4,-14,-17,-13,-5,0,18.25,18.25,18.25,-10.375,-10.375,-10.375,6.627611,5.197975,9.348482,3.583901,5.202821,5.100998,,,,,,,,,,,
-0.04541016,0.7421875,0.5258789,-0.04638672,-0.7416992,0.6474609,-1,-8,-2,1,10,4,7,3,0,1,3,7,8,14,-2,0,9.1875,9.1875,9.1875,-8.625,-8.625,-8.625,6.631782,5.216671,9.361032,3.580287,5.215266,5.097696,,,,,,,,,,,
-0.1147461,0.7885742,0.5400391,-0.09619141,-0.7363281,0.6113281,2,-14,0,-4,2,0,1,2,0,-2,-3,-13,-4,-21,-3,0,9.6875,9.6875,9.6875,2.625,2.625,2.625,6.64039,5.242677,9.381651,3.581487,5.231251,5.093398,,,,,,,,,,,
-0.1245117,0.8325195,0.5419922,-0.08789063,-0.6811523,0.3735352,8,3,2,9,-21,3,1,3,1,-3,-6,0,-6,-1,2,-3,-0.875,-0.875,-0.875,-15.375,-15.375,-15.375,6.638959,5.244903,9.385401,3.565741,5.243751,5.099236,,,,,,,,,,,
-0.2744141,0.824707,0.5634766,0.5336914,-0.6713867,0.7163086,-7,-2,-4,-53,-22,-7,-10,-7,-2,1,0,-9,-1,-12,1,1,2.8125,2.8125,2.8125,12.375,12.375,12.375,6.626097,5.256016,9.391071,3.579529,5.223094,5.100419,,,,,,,,,,,
-0.2348633,0.8623047,0.4677734,-0.2851563,-0.6489258,0.1806641,0,-2,-4,13,40,4,1,1,1,-2,-1,6,0,4,0,-3,0.5625,0.5625,0.5625,27.1875,27.1875,27.1875,6.629519,5.265011,9.384666,3.583504,5.230734,5.09529,,,,,,,,,,,
-0.296875,0.8911133,0.4804688,0.3706055,-0.6435547,0.9121094,3,3,3,11,4,1,0,-5,-1,0,9,8,-4,-5,3,0,1.0625,1.0625,1.0625,-3.3125,-3.3125,-3.3125,6.631156,5.274532,9.38013,3.592202,5.245552,5.086851,,,,,,,,,,,
-0.3569336,0.8295898,0.4897461,-0.9414063,-0.8818359,0.02978516,-17,1,-2,-6,2,0,15,-8,0,0,-3,-2,9,7,0,1,-4.4375,-4.4375,-4.4375,13.9375,13.9375,13.9375,6.627349,5.302701,9.359711,3.582401,5.283548,5.072471,,,,,,,,,,,
-0.2514648,0.7250977,0.4951172,-0.7817383,-0.9023438,0.2597656,-1,-6,-2,1,-3,-2,-4,-41,-2,-2,-3,-5,-6,-9,-2,1,26.3125,26.3125,26.3125,-15.5,-15.5,-15.5,6.636657,5.318393,9.3293,3.575022,5.299781,5.07105,,,,,,,,,,,
-0.2475586,0.8134766,0.4780273,-0.8012695,-0.8808594,-0.002441406,-2,-1,-1,-2,6,-11,9,66,1,-1,-2,-5,-4,-13,-2,-2,27.8125,27.8125,27.8125,-6.25,-6.25,-6.25,6.664654,5.290754,9.319373,3.557152,5.310829,5.068089,,,,,,,,,,,
-0.03808594,0.7514648,0.5053711,0.40625,-0.5537109,1.130859,2,2,-16,-29,80,-11,28,-9,-2,0,-6,-8,-7,-9,-2,-1,16.1875,16.1875,16.1875,-1.4375,-1.4375,-1.4375,6.675542,5.216464,9.321788,3.577615,5.289526,5.076163,,,,,,,,,,,
0.046875,1.098633,0.5566406,-0.6367188,-0.7983398,-0.01074219,1,-4,-15,-3,-29,28,-5,6,-2,0,5,2,4,-1,-1,-2,116.75,116.75,116.75,-17,-17,-17,6.775178,5.163996,9.311241,3.55099,5.309992,5.085396,,,,,,,,,,,
0.1694336,1.208984,0.4052734,-0.706543,-1.045898,-0.08935547,-1,-18,8,0,-13,26,32,3,-1,0,0,7,4,6,-1,0,-9.75,-9.75,-9.75,-0.375,-0.375,-0.375,6.823752,5.114069,9.358396,3.492164,5.344563,5.082962,,,,,,,,,,,
0.015625,0.9633789,0.4355469,-0.7333984,-0.9433594,-0.2148438,-9,-1,-9,-9,15,16,-2,0,-1,-1,2,0,0,27,-7,-6,-30.0625,-30.0625,-30.0625,-3.375,-3.375,-3.375,6.810105,5.102761,9.39667,3.439044,5.371071,5.079983,,,,,,,,,,,
-0.2255859,0.8867188,0.5712891,-0.2426758,-0.6640625,0.5097656,-27,43,32,1,-17,-1,-13,3,-5,-3,-3,-16,0,2,-1,-3,-72.875,-72.875,-72.875,-19.3125,-19.3125,-19.3125,6.719683,5.104747,9.51103,3.40256,5.36937,5.082744,,,,,,,,,,,
-0.3266602,0.8549805,0.559082,0.2729492,-0.7451172,1.557617,2,-47,-16,-2,-3,1,-6,-6,1,0,-4,-5,1,5,-2,-1,-69.5,-69.5,-69.5,0.9375,0.9375,0.9375,6.634309,5.160013,9.551822,3.465695,5.305116,5.096345,,,,,,,,,,,
-0.3408203,0.7592773,0.4584961,-0.4399414,-0.7915039,0.1245117,1,-12,-3,-3,-1,-3,-6,0,-1,0,9,11,3,7,2,-1,-27.625,-27.625,-27.625,4.375,4.375,4.375,6.589757,5.245144,9.531847,3.438795,5.316664,5.084944,,,,,,,,,,,
-0.253418,0.8071289,0.4458008,-0.1699219,-1.007813,0.6538086,-4,-5,-18,-21,-88,4,-12,-8,-3,-1,0,2,-1,1,-5,-3,-0.125,-0.125,-0.125,7.4375,7.4375,7.4375,6.580272,5.301712,9.478533,3.489663,5.289417,5.089161,,,,,,,,,,,
-0.2871094,0.7353516,0.3671875,-0.215332,-0.7954102,0.6235352,4,-9,3,-11,9,-2,1,-4,1,-1,2,-1,-1,-7,0,-1,-0.8125,-0.8125,-0.8125,9.125,9.125,9.125,6.577123,5.317179,9.444452,3.502013,5.288322,5.093096,,,,,,,,,,,
