ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,,,,,
-0.1948242,0.7949219,0.4697266,-0.09130859,-0.8378906,0.5581055,-2,-6,-9,-50,-6,-4,-5,-5,-3,-2,0,-5,-7,-2,-2,0,15.6875,15.6875,15.6875,6.0625,6.0625,6.0625,6.719072,5.261957,1.122488,3.413449,5.22169,5.087625,,,,,
-0.1020508,0.7114258,0.7768555,-0.08007813,-0.7861328,0.5239258,3,-3,1,0,5,-1,1,-3,-2,1,-3,-4,2,-5,3,1,12.1875,12.1875,12.1875,12.5625,12.5625,12.5625,6.716087,5.265832,1.146994,3.421,5.225511,5.088641,,,,,
-0.1650391,1.015137,0.1616211,-0.1469727,-0.8203125,0.534668,-1,-5,-5,-3,-13,-3,2,-1,-2,-2,-8,-19,2,0,2,-2,30.9375,30.9375,30.9375,-4.1875,-4.1875,-4.1875,6.748224,5.266482,1.163606,3.421982,5.23267,5.095026,,,,,
-0.8027344,0.8964844,0.3051758,-0.1162109,-0.8486328,0.5800781,-1,-1,-3,-13,0,-2,0,3,2,0,-2,4,-5,-3,-3,-2,4.5625,4.5625,4.5625,10.5,10.5,10.5,6.776827,5.319059,1.189982,3.427945,5.229529,5.098163,,,,,
0.2885742,1.006348,0.4140625,-0.1914063,-0.8095703,0.5424805,-7,-7,-4,-7,1,-2,3,3,-2,-3,-3,-1,-8,-10,1,1,0.3125,0.3125,0.3125,5.125,5.125,5.125,6.792322,5.323908,1.197296,3.438367,5.2332,5.095243,,,,,
-0.8725586,0.7148438,0.4179688,-0.1875,-0.8955078,0.5541992,0,-3,-2,-6,0,0,4,0,1,0,1,-9,-3,-8,-1,0,3.9375,3.9375,3.9375,2.625,2.625,2.625,6.798235,5.383261,1.177869,3.434713,5.238037,5.086921,,,,,
-0.02197266,0.6435547,0.6884766,-0.1958008,-0.8510742,0.5708008,-4,-1,-4,-1,0,-3,-18,-38,0,0,4,9,0,-7,-1,1,-3.1875,-3.1875,-3.1875,5.9375,5.9375,5.9375,6.759532,5.347401,1.150257,3.440112,5.250166,5.080572,,,,,
-0.2587891,0.7871094,0.4765625,-0.2055664,-0.862793,0.5678711,-7,-4,-3,-2,17,15,8,8,0,-2,3,1,-4,-6,1,0,8.4375,8.4375,8.4375,-0.875,-0.875,-0.875,6.75947,5.343974,1.140712,3.439074,5.271303,5.074555,,,,,
-0.2260742,0.7592773,0.4438477,-0.2099609,-0.8442383,0.5483398,6,0,0,13,3,0,10,32,3,0,0,-1,-4,-5,-2,-1,21.9375,21.9375,21.9375,0.625,0.625,0.625,6.770785,5.317865,1.120854,3.437315,5.297654,5.069474,,,,,
-0.06591797,0.8330078,0.3583984,-0.2094727,-0.8227539,0.5083008,0,-3,-5,12,-24,-41,7,2,-2,0,0,-1,-2,-4,-6,-4,47.625,47.625,47.625,0.25,0.25,0.25,6.805147,5.259284,1.084422,3.435471,5.321606,5.068933,,,,,
0.04394531,1.082031,0.5390625,-0.2172852,-0.8041992,0.5053711,4,13,28,1,11,-11,-4,6,-2,1,-1,-3,0,-4,2,-1,64.0625,64.0625,64.0625,-8.1875,-8.1875,-8.1875,6.868113,5.199042,1.055889,3.429687,5.334628,5.08076,,,,,
-0.06201172,1.055664,0.5214844,-0.1904297,-0.8100586,0.5073242,-12,-10,-1,-6,-15,-8,-27,-36,0,-2,-2,-3,-2,-1,-8,-4,-1.6875,-1.6875,-1.6875,-11.875,-11.875,-11.875,6.885108,5.15649,1.074209,3.419195,5.327932,5.097867,,,,,
0.05126953,0.8847656,0.3823242,-0.1767578,-0.8022461,0.5327148,-7,-3,-5,-37,-14,-12,-24,-28,-3,0,7,17,-2,3,1,-1,-11.375,-11.375,-11.375,-6.1875,-6.1875,-6.1875,6.870326,5.126855,1.118175,3.413495,5.305452,5.112697,,,,,
-0.1484375,1.012207,0.5097656,-0.175293,-0.8071289,0.5361328,-22,-30,-2,10,4,-8,-8,-19,2,1,2,6,-1,-7,0,-2,-44.6875,-44.6875,-44.6875,-6.0625,-6.0625,-6.0625,6.836937,5.115777,1.183664,3.412033,5.291806,5.119974,,,,,
-0.3007813,0.9067383,0.5087891,-0.09277344,-0.8398438,0.6049805,12,-12,-27,2,-4,-1,-5,-1,-1,-1,2,4,-1,-4,-1,0,-86.375,-86.375,-86.375,-16.6875,-16.6875,-16.6875,6.745845,5.153223,1.232948,3.395425,5.239271,5.134922,,,,,
-0.3041992,0.7866211,0.465332,-0.1269531,-0.8847656,0.6005859,-45,-16,0,-2,-11,-8,-8,-12,0,-2,-2,-2,2,0,-1,-1,-37.5,-37.5,-37.5,3.4375,3.4375,3.4375,6.646246,5.260481,1.213239,3.395534,5.212079,5.129584,,,,,
-0.3120117,0.8208008,0.4736328,-0.1513672,-0.8623047,0.5800781,7,-9,-1,-34,-17,0,1,9,-1,-1,1,2,-1,-5,1,2,-12.125,-12.125,-12.125,11.125,11.125,11.125,6.636981,5.294125,1.193582,3.402259,5.205947,5.125436,,,,,
-0.2548828,0.7324219,0.3876953,-0.184082,-0.862793,0.5458984,-8,-6,0,-2,-4,0,-2,5,-4,0,-1,2,-1,-1,2,-1,1.8125,1.8125,1.8125,10.625,10.625,10.625,6.628111,5.337128,1.141361,3.420653,5.21106,5.114154,,,,,
-0.1865234,0.8569336,0.4072266,-0.1879883,-0.8774414,0.5249023,-12,-22,-7,-11,-17,-6,-8,3,0,-1,0,4,4,3,1,1,71.125,71.125,71.125,9.5625,9.5625,9.5625,6.681721,5.344746,1.098504,3.428721,5.223955,5.112505,,,,,
-0.000976563,0.9941406,0.4951172,-0.1713867,-0.862793,0.5371094,0,-1,0,-6,-8,-4,0,-4,-1,2,-1,-3,-3,0,-5,-4,46.625,46.625,46.625,5.6875,5.6875,5.6875,6.751129,5.304179,1.079786,3.431305,5.229359,5.115505,,,,,
-0.1787109,0.8452148,0.6293945,-0.1386719,-0.8422852,0.527832,1,3,3,-4,-10,0,0,0,-2,-2,1,3,4,16,0,0,-46.9375,-46.9375,-46.9375,-1.6875,-1.6875,-1.6875,6.716066,5.262037,1.099372,3.430696,5.237111,5.125289,,,,,
-0.2509766,0.7485352,0.5400391,-0.08886719,-0.8676758,0.5688477,-3,2,-5,0,-5,-4,1,0,-2,-3,-8,-12,-4,-4,-3,-3,-6.1875,-6.1875,-6.1875,-3.1875,-3.1875,-3.1875,6.683697,5.256556,1.114669,3.427543,5.237379,5.137181,,,,,
-0.3076172,0.9135742,0.4448242,-0.1621094,-0.8466797,0.5385742,2,4,-5,-27,-41,-10,2,2,-2,0,-1,-3,-4,-1,3,-1,8.5625,8.5625,8.5625,10.9375,10.9375,10.9375,6.695189,5.26792,1.117005,3.437217,5.240674,5.139466,,,,,
-0.2680664,0.8930664,0.4501953,-0.1567383,-0.8188477,0.5673828,1,2,-4,21,8,-1,-5,0,-1,-1,-1,0,6,5,5,2,-2.375,-2.375,-2.375,-10.625,-10.625,-10.625,6.69509,5.272037,1.115006,3.431562,5.238513,5.137443,,,,,
