ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9321289,0.2807617,0.02392578,0.9296875,-0.3481445,0.06542969,-2,-1,-1,0,-1,0,2,0,-2,-1,-2,0,-1,0,-3,0,0.3125,0.3125,0.3125,-0.8125,-0.8125,-0.8125,7.523628,2.954966,9.44173,2.772636,3.075379,6.464118
0.9301758,0.2744141,0.02490234,0.9301758,-0.3535156,0.06054688,2,-3,-2,-2,1,2,-1,-9,-2,-1,0,-1,-1,-2,-3,-1,0.1875,0.1875,0.1875,-2.0625,-2.0625,-2.0625,7.524881,2.95606,9.440222,2.771363,3.076713,6.463465
0.9355469,0.2709961,0.02001953,0.9306641,-0.3505859,0.05859375,0,-1,-1,0,0,1,1,-4,1,-1,-2,-3,-1,-2,0,0,0.6875,0.6875,0.6875,0,0,0,7.527561,2.956661,9.437488,2.772032,3.077111,6.462827
0.9399414,0.2734375,0.01855469,0.9316406,-0.34375,0.06396484,-2,-2,-2,-2,0,2,0,-2,0,0,0,0,0,-2,4,-1,0.25,0.25,0.25,-1,-1,-1,7.528859,2.957561,9.435678,2.772006,3.076769,6.462811
0.9370117,0.2763672,0.02001953,0.934082,-0.3427734,0.06347656,-2,-2,0,1,-1,0,-1,-5,1,0,-3,1,-2,0,-3,-2,0.25,0.25,0.25,-2.6875,-2.6875,-2.6875,7.528128,2.957957,9.436194,2.77231,3.076939,6.459949
0.9301758,0.2724609,0.02587891,0.9316406,-0.3500977,0.06005859,1,0,-1,-1,-1,-3,-2,-3,-1,-4,-2,-1,-3,-1,-1,-1,-0.0625,-0.0625,-0.0625,-1.9375,-1.9375,-1.9375,7.52745,2.957808,9.436896,2.771719,3.076608,6.459347
0.9287109,0.2719727,0.02001953,0.9306641,-0.3486328,0.05419922,-1,1,-2,-1,0,-1,-2,-3,1,9,2,-1,-2,-1,5,-1,0.4375,0.4375,0.4375,-1.0625,-1.0625,-1.0625,7.526771,2.958345,9.436692,2.770921,3.07724,6.459558
0.9316406,0.2783203,0.02099609,0.9365234,-0.3427734,0.06445313,-2,-1,-1,-1,0,0,-1,-6,1,0,-2,-2,-2,-4,-24,0,0.25,0.25,0.25,-2.375,-2.375,-2.375,7.528778,2.958479,9.434978,2.770372,3.077469,6.457938
0.9316406,0.2734375,0.02099609,0.9467773,-0.3544922,0.04736328,0,-1,-1,-2,-1,0,0,-4,-3,1,-2,0,-1,0,3,3,0.125,0.125,0.125,-3.625,-3.625,-3.625,7.530176,2.958973,9.432643,2.768412,3.078297,6.45657
0.9301758,0.2797852,0.01855469,0.9658203,-0.3666992,0.03515625,-1,-1,-2,-1,-1,-3,0,1,-4,0,-1,-7,-14,-4,-9,-4,-0.1875,-0.1875,-0.1875,-4.75,-4.75,-4.75,7.531546,2.959433,9.430515,2.766944,3.079142,6.454937
0.9296875,0.2802734,0.01855469,0.9609375,-0.359375,0.01318359,1,0,-1,1,1,-1,0,2,-3,-3,-6,-27,-48,-14,7,-6,-0.75,-0.75,-0.75,-7,-7,-7,7.530138,2.960432,9.430521,2.775704,3.085464,6.437446
0.9619141,0.2929688,0.002441406,1.026855,-0.3813477,-0.0078125,-2,-1,2,1,0,1,0,3,2,0,5,12,0,-3,-1,-1,-1.6875,-1.6875,-1.6875,-5.5,-5.5,-5.5,7.523758,2.962867,9.43551,2.808747,3.103281,6.392216
0.9746094,0.3061523,-0.02294922,1.130859,-0.3989258,0.06884766,-2,-11,-16,-9,-5,1,6,-2,-1,-3,-2,-14,13,16,2,-1,-3.375,-3.375,-3.375,3.875,3.875,3.875,7.5132,2.966848,9.444865,2.928164,3.152858,6.267273
1.009766,0.2753906,-0.05322266,1.061523,-0.4892578,0.1928711,1,9,7,20,2,-4,-3,0,2,1,6,5,-18,4,3,2,-14.625,-14.625,-14.625,-57.125,-57.125,-57.125,7.456923,2.984268,9.491896,3.045069,3.242475,6.084773
