ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR
0.9233398,0.315918,0.06005859,0.9262695,-0.3642578,0.06396484,0,-1,-1,-1,-1,-1,0,-3,-2,-3,-2,0,-1,-1,0,-1,0.5,0.5,0.5,0.0625,0.0625,0.0625,7.336171,3.027008,8.90347,2.771502,3.10948,6.459056
0.921875,0.3183594,0.0546875,0.9243164,-0.3623047,0.06689453,0,0,-2,-1,0,-2,-1,-2,0,0,-2,0,-2,-2,-3,1,0.5,0.5,0.5,-0.375,-0.375,-0.375,7.335481,3.027426,8.903639,2.771502,3.10948,6.459056
0.9208984,0.3144531,0.05761719,0.9301758,-0.3666992,0.06787109,1,-2,-2,1,-1,-1,-2,0,-2,-2,-1,0,-1,0,-1,-2,0.0625,0.0625,0.0625,0.125,0.125,0.125,7.332656,3.026376,8.906348,2.771502,3.10948,6.459056
0.9208984,0.3173828,0.05078125,0.9282227,-0.3666992,0.0703125,-1,0,-1,0,-2,0,-2,-1,-1,-3,0,-2,-2,1,1,0,0.75,0.75,0.75,1.0625,1.0625,1.0625,7.333076,3.026413,8.906072,2.775684,3.10946,6.456196
0.9208984,0.3183594,0.05126953,0.9262695,-0.3598633,0.06835938,-2,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-2,-2,-1,0,0.5625,0.5625,0.5625,0.3125,0.3125,0.3125,7.334835,3.026317,8.904243,2.776101,3.109332,6.455803
0.9179688,0.3178711,0.05224609,0.9238281,-0.362793,0.06445313,0,0,-1,1,-2,-1,-1,0,1,-2,-1,0,-1,-1,-1,0,0.375,0.375,0.375,-0.25,-0.25,-0.25,7.337632,3.025787,8.901704,2.776101,3.109332,6.455803
0.9174805,0.3168945,0.05224609,0.925293,-0.3637695,0.06347656,1,-1,-1,-2,0,-1,-3,1,-1,-1,-2,0,-3,-1,-2,-1,0.6875,0.6875,0.6875,0.25,0.25,0.25,7.338974,3.025655,8.900148,2.776101,3.109332,6.455803
0.9238281,0.3149414,0.04931641,0.9248047,-0.362793,0.06298828,0,1,-1,-1,-2,-2,-3,-3,0,0,-3,-2,0,-1,-2,-2,0.0625,0.0625,0.0625,0.3125,0.3125,0.3125,7.342427,3.025414,8.896219,2.776101,3.109332,6.455803
0.9213867,0.3125,0.05615234,0.9296875,-0.3632813,0.06640625,0,-2,-1,-2,-3,-2,-1,0,-2,-1,0,-1,-2,-2,-2,0,0,0,0,0.0625,0.0625,0.0625,7.343386,3.025466,8.894617,2.776157,3.109182,6.455608
0.9223633,0.3149414,0.05957031,0.9282227,-0.3603516,0.07519531,0,-2,0,-1,-1,0,-1,-1,0,-2,0,-1,0,-2,-1,-3,-0.4375,-0.4375,-0.4375,-0.75,-0.75,-0.75,7.346929,3.024983,8.889961,2.776493,3.108882,6.455397
