14.349,10.825,5.1351,1.5232,3.2,0
1768.7,365.04,27.013,13.567,7.3809,0
1512.3,442.31,22.504,18.622,7.6624,0
1389.5,401.03,24.531,14.243,7.7591,0
242.83,1052,14.127,-0.62788,23.502,0
3067.9,20.444,27.395,16.217,12.031,0
1917.1,3397.6,21.923,0.89501,12.28,0
2115.9,-43.482,29.626,15.662,10.406,0
2038.9,-53.369,22.91,15.257,10.861,0
2186.3,37.922,24.838,17.747,10.64,0
3361.9,523.67,27.964,15.529,13.281,0
2759.8,21.987,27.343,16.304,12.938,0
1982,67.488,28.475,19.95,12.443,0
1493.5,-217.33,26.264,8.3693,6.9445,0
3241.9,120.56,26.568,16.728,14.689,0
2141.8,-29.07,24.854,20.129,10.681,0
2520.5,-110.63,20.661,11.82,9.8904,0
3207.5,142.25,26.229,18.69,14.572,0
1829.3,3770.4,27.134,-4.0913,10.961,0
2903.7,208.78,28.248,18.195,12.881,0
2757.4,-55.436,30.074,20.273,11.006,0
2152,-39.74,23.77,16.638,12.894,0
1642.3,4209.7,26.539,-3.0112,7.3715,0
3321.8,-0.76599,22.884,13.995,15.691,0
3812.1,3466,25.647,-4.7342,10.931,0
4494,153.46,23.833,12.981,13.706,0
2841.7,-188.77,26.975,19.479,11.284,0
2323.8,-74.684,24.435,17.791,11.498,0
2955.9,3931.7,23.691,2.0272,1.8668,0
2130.2,-180.29,23.769,14.618,9.8396,0
3083.4,36.211,33.087,1.8384,11.143,0
1931.1,-147.67,25.96,12.478,10.293,0
3840.9,318.1,24.74,15.848,15.315,0
1494.4,-98.956,44.528,2.2879,11.694,0
2608,-349.97,46.76,-2.6314,8.9313,0
4102.3,518.33,36.867,3.8314,9.7015,0
2191.6,193.04,33.801,9.0192,13.649,0
2931.7,646.05,45.329,5.2101,14.162,0
1428.7,-53.526,41.872,3.9482,10.095,0
1906.2,-153.45,45.558,5.0229,8.4835,0
1097.6,36.899,38.745,2.8192,9.1425,0
2252.3,735,38.371,4.0507,12.885,0
3083.5,-119.99,36.022,8.649,11.224,0
1542.5,539.41,36.008,8.296,12.594,0
2354.8,568.87,35.699,3.2623,12.545,0
2856.6,312.72,32.821,6.0274,12.137,0
3085.6,236.13,35.878,5.9074,12.493,0
4625,-614.83,7.0245,1.3638,9.5146,0
7570,-1133.8,3.2938,-8.9047,7.7472,0
3726,-243.58,10.611,3.7198,11.285,0
2488.3,282.54,11.92,7.2523,13.554,0
4642.2,85.429,9.8637,4.443,12.402,0
3442.9,388.19,10.902,6.3512,9.027,0
